,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,butaritari,88,KI,1548131534,100,3.07,172.79,83.28,6.71
1,atuona,68,PF,1548131534,98,-9.8,-139.03,81.75,13.87
2,ushuaia,40,AR,1548129600,75,-54.81,-68.31,46.4,8.05
3,mahebourg,75,MU,1548129600,70,-20.41,57.7,84.2,3.36
4,thompson,90,CA,1548129600,77,55.74,-97.86,-2.21,5.82
5,cidreira,24,BR,1548131536,93,-30.17,-50.22,67.53,4.81
6,cape town,75,ZA,1548129600,100,-33.93,18.42,62.6,5.82
7,albany,1,US,1548129420,46,42.65,-73.75,5.0,19.46
8,klaksvik,0,FO,1548129000,64,62.23,-6.59,37.4,10.29
9,mataura,0,NZ,1548131537,48,-46.19,168.86,70.41,29.19
10,lompoc,1,US,1548130500,61,34.64,-120.46,53.06,10.29
11,punta arenas,40,CL,1548129600,70,-53.16,-70.91,46.4,32.21
12,vila franca do campo,40,PT,1548127800,76,37.72,-25.43,57.2,10.29
13,pitimbu,20,BR,1548129600,83,-7.47,-34.81,75.2,3.36
14,ostersund,64,SE,1548129000,84,63.18,14.64,8.6,2.68
15,axim,0,GH,1548131539,100,4.87,-2.24,82.11,10.85
16,bluff,0,AU,1548131540,33,-23.58,149.07,93.95,13.98
17,marsh harbour,80,BS,1548131540,100,26.54,-77.06,69.51,19.01
18,jamestown,88,AU,1548131493,76,-33.21,138.6,86.57,3.91
19,omsukchan,8,RU,1548131541,70,62.53,155.8,-7.22,2.46
20,herat,0,AF,1548129300,79,34.35,62.22,26.6,5.82
21,manta,92,RO,1548131542,95,45.1,24.1,23.48,3.36
22,port lincoln,0,AU,1548131542,57,-34.72,135.86,85.98,8.39
23,chokurdakh,0,RU,1548131542,0,70.62,147.9,-37.91,8.61
24,arraial do cabo,8,BR,1548131543,83,-22.97,-42.02,78.02,19.69
25,kapaa,1,US,1548129360,71,22.08,-159.32,78.08,5.82
26,dikson,0,RU,1548131544,74,73.51,80.55,0.62,6.49
27,waterloo,1,CA,1548130620,84,43.47,-80.52,-0.41,1.68
28,kaitangata,0,NZ,1548131545,49,-46.28,169.85,69.15,30.53
29,esperance,20,TT,1548129600,83,10.24,-61.45,77.0,3.36
30,souillac,75,FR,1548129600,86,45.6,-0.6,33.8,2.24
31,udachnyy,48,RU,1548131546,69,66.42,112.4,-16.22,2.91
